"frame","x [nm]","y [nm]","z [nm]","sigma1 [nm]","sigma2 [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]","uncertainty_z [nm]","detections"
140,24787.40416,20266.84608,-180.365,107.8,187.9,12209,143,12.48,3.2,6.4,3
142,24313.06492,18952.64591,173.5,203.4,123.8,8046,126,12.48,4.42,8.84,2
142,24688.83719,18991.54591,-30.5809,135.6,151.2,32611,113,12.48,1.43,2.86,4
145,24786.18374,19104.34567,-63.0341,126.9,157.1,36796,96,12.48,1.32,2.64,5
145,25381.54602,21099.44567,-327.652,135.6,252.7,3330,116,12.48,9.73,19.46,1
150,24492.31212,19049.84525,87.9981,170.6,130,13225,103,12.48,2.92,5.84,4
152,25300.4558,21315.14509,-117.955,98.2,162.2,1398,103,12.48,9.71,19.42,1
153,24566.59206,18982.445,28.7086,140.9,120.1,23354,104,12.48,1.7,3.4,6
157,24539.15518,19687.54467,-56.7931,108.6,140.7,4699,194,12.48,3.97,7.94,1
158,25187.76351,20920.04459,96.1114,175.8,138.7,16835,117,12.48,2.48,4.96,3
159,24530.00941,19699.04451,-21.2194,119.5,129,16331,130,12.48,1.96,3.92,4
161,24342.4277,18998.14434,106.097,176.2,125.3,5137,116,12.48,4.35,8.7,1
165,24519.23697,19707.04401,-2.4964,117.2,112.1,5014,147,12.48,3.69,7.38,2
165,25014.81333,20530.34401,-11.2338,152.4,161,11412,115,12.48,2.95,5.9,2
172,24907.60804,20570.64343,143.543,191,127.4,31725,109,12.48,2.02,4.04,8
173,24515.88201,19692.44335,-54.9208,102.6,134.5,4510,134,12.48,4.17,8.34,2
179,24476.96222,18998.24285,19.3471,134,116.7,8359,108,12.48,2.65,5.3,2
179,25417.30743,21434.94285,-76.7643,93.7,140.4,3907,103,12.48,4.89,9.78,3
181,24631.92468,18991.44269,-82.3812,112.9,155.8,5260,86,12.48,3.41,6.82,1
181,24698.17766,19783.74269,-13.1061,123.9,128.4,3584,122,12.48,4.35,8.7,1
181,25059.11414,20604.84269,170.379,201.3,113.8,40409,108,12.48,1.58,3.16,6
183,24718.50024,19837.64252,-4.9928,115.5,112.1,11995,112,12.48,1.97,3.94,3
183,24427.77973,18956.44252,58.0413,148.2,106.1,5085,100,12.48,3.91,7.82,2
183,25422.48896,21395.14252,-69.8992,111.3,149.1,2691,111,12.48,7.06,14.12,2
186,24510.18887,19645.04227,-58.0413,128.2,156.2,48101,105,12.48,1.19,2.38,7
186,25417.00113,21423.54227,-101.728,108.9,161,3889,112,12.48,5.56,11.12,2
186,24933.72019,19166.94227,-220.931,89.9,198.9,2836,100,12.48,6.73,13.46,1
187,24912.27921,20563.74219,192.847,212.4,134.5,4502,116,12.48,6.07,12.14,1
188,25158.39054,20599.24211,185.358,208.2,111.6,13813,104,12.48,2.74,5.48,2
189,24737.19615,19805.84202,-9.9856,113.2,113.3,5962,69,12.48,2.43,4.86,1
189,25406.63577,21422.44202,-111.09,94.1,157.2,1427,105,12.48,9.06,18.12,1
190,24729.06674,20425.64194,79.2607,153.2,93.7,1494,117,12.48,8.74,17.48,1
190,25321.27896,20590.74194,56.7931,154.6,120.2,38497,107,12.48,1.41,2.82,9
191,22956.90094,18753.84186,-303.313,162.6,237.6,4057,105,12.48,8,16,1
192,24717.27899,19789.74178,1.8723,116.1,107,6772,79,12.48,2.47,4.94,2
192,25418.93056,21360.14178,-137.926,96.8,169.4,6496,118,12.48,4.69,9.38,4
194,24428.8952,19517.24161,19.3471,161.8,161.4,16995,92,12.48,2.4,4.8,3
198,25404.19514,21413.84128,-106.721,94.4,155.5,1237,110,12.48,10.27,20.54,1
200,25356.13083,20596.44111,21.2194,133.5,114.6,24335,94,12.48,1.55,3.1,7
200,25419.6402,21439.24111,-96.7355,87.1,146.6,1427,98,12.48,7.84,15.68,1
202,25412.9332,21384.04095,-88.6222,93.8,146.8,3479,123,12.48,5.26,10.52,2
205,25407.24213,21425.2407,-94.8632,99.6,153.1,6318,109,12.48,3.4,6.8,2
207,24924.57047,20457.74054,114.21,174.3,105.2,34389,105,12.48,1.52,3.04,7
208,25418.82562,21427.94045,-57.4172,100.1,134.2,1472,102,12.48,7.54,15.08,1
209,24591.5777,19105.64037,-35.5737,119.1,137.6,6659,114,12.48,2.84,5.68,1
210,25380.41473,20614.24029,-5.6169,122.5,121.4,10156,103,12.48,2.4,4.8,3
211,24587.6143,19113.5402,-35.5737,116.3,135.2,2272,121,12.48,6.18,12.36,1
214,25322.69658,20592.63996,61.1618,153.5,113.7,37512,103,12.48,1.3,2.6,7
217,24473.19456,18846.53971,-19.3471,130.2,139.6,10176,106,12.48,2.54,5.08,2
221,25368.11703,19193.73938,-94.8632,82.8,142.7,1476,102,12.48,7.34,14.68,1
