"frame","x [nm]","y [nm]","z [nm]","sigma1 [nm]","sigma2 [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]","uncertainty_z [nm]","detections"
4295,25133.43376,20707.49449,70.2038,154.8,110.9,2595,106,12.48,5.91,11.82,1
4304,25297.54214,20909.59393,64.5409,151.2,109,14292,103,12.48,2.23,4.46,4
4309,24557.88664,19831.69362,-9.12847,151.3,160.3,34309,102,12.48,1.64,3.28,6
4314,24900.4309,20574.99331,46.3909,141.2,107.7,3005,130,12.48,5.02,10.04,1
4316,24666.20836,19427.99319,47.0047,153,129.4,5196,108,12.48,5.22,10.44,3
4318,24822.89873,20317.09306,66.9657,151.6,107,16325,134,12.48,1.85,3.7,2
4320,24472.73348,18891.59294,30.7577,126.6,98,2123,103,12.48,5.27,10.54,1
4321,24726.16131,19386.19288,-10.438,118.4,122.4,1481,100,12.48,7.65,15.3,1
4321,24898.90681,20348.59288,60.7094,144.3,99,1294,101,12.48,8.98,17.96,1
4322,24532.99121,19406.99282,244.19,230.5,169.5,3580,94,12.48,8.45,16.9,1
4322,24467.24631,18883.59282,28.251,125.8,99.2,1960,101,12.48,5.59,11.18,1
4324,24529.33311,19468.39269,211.102,217.2,152.5,6665,93,12.48,5.59,11.18,2
4324,24862.32547,20332.39269,70.6796,150.3,100.4,1467,100,12.48,8.52,17.04,1
4325,24113.52455,18511.69263,-80.9818,115.6,158.1,2312,102,12.48,6.71,13.42,1
4326,24452.61383,18924.19257,-11.0877,125.5,131.1,3724,129,12.48,4.4,8.8,1
4330,24501.69395,18911.29233,7.61482,135.2,130.3,33096,125,12.48,1.3,2.6,4
4332,24175.50984,18675.2922,-313.807,151.9,246.4,4771,126,12.48,7.5,15,1
4332,24881.42925,20328.2922,48.7952,139.5,101.8,16913,109,12.48,1.88,3.76,5
4335,24467.85626,18908.29202,16.9507,133.2,120.2,11499,115,12.48,2.37,4.74,3
4339,24882.75039,20334.59178,48.1353,137.8,99.6,8442,125,12.48,2.56,5.12,2
4342,25259.0308,21015.5916,165.451,193.1,92.1,4251,111,12.48,4.88,9.76,1
4343,25149.185,20907.29154,196.027,211.8,141.7,42971,108,12.48,1.66,3.32,5
4349,25248.76784,21035.89117,180.393,205.2,135.1,48709,111,12.48,1.57,3.14,7
4351,25019.82928,20710.09105,102.371,162.6,92.5,13549,101,12.48,2.18,4.36,3
4356,25022.97946,20734.99075,89.2389,161.5,105,2286,103,12.48,6.62,13.24,1
4358,25251.71487,21075.39063,142.277,189.6,129.8,14154,113,12.48,2.91,5.82,3
4359,24865.67951,20596.69057,132.286,181.5,107.1,11663,114,12.48,2.97,5.94,3
4362,24908.15465,19600.49039,-39.3563,97.3,121.7,3764,76,12.48,3.64,7.28,2
4363,25243.58579,21115.99033,210.279,220,124.7,12394,119,12.48,3.83,7.66,3
4364,24820.25772,20578.19028,148.488,188.5,106.5,6761,116,12.48,4.26,8.52,2
4367,25288.80456,21106.8901,72.9561,151.8,100.7,3216,112,12.48,4.76,9.52,1
4368,25000.52283,20678.19004,127.248,183.3,125.3,21771,113,12.48,2.02,4.04,3
4373,25230.37608,21052.98974,164.044,198.1,144.9,18066,119,12.48,2.71,5.42,3
4376,25318.57797,21115.38956,101.619,163.3,94.4,2467,119,12.48,6.29,12.58,1
4378,26354.03487,18762.88945,-283.461,112.1,231.2,4595,92,12.48,5.79,11.58,1
4378,26128.34796,21364.28945,218.939,224.6,118,2443,99,12.48,9.72,19.44,1
4378,25267.77052,21098.38945,86.63,156.5,96.4,1805,101,12.48,7.39,14.78,1
4379,25059.96787,20770.58939,120.95,182.5,135.6,8113,96,12.48,3.78,7.56,2
4384,24349.27269,19065.58909,135.279,180.4,97.6,1687,100,12.48,9.33,18.66,1
4385,25198.57089,20933.08904,99.0762,171.4,121.5,12304,106,12.48,2.79,5.58,3
4388,25119.5145,20856.28886,163.967,197.1,156.2,5924,96,12.48,4.66,9.32,1
4389,25204.87112,20900.2888,75.34,156.2,107.8,33206,103,12.48,1.53,3.06,10
4398,24298.77041,19306.58828,166.413,196.9,106.6,5914,110,12.48,4.93,9.86,2
4400,25201.61973,20860.48816,69.6668,152.8,106,25557,104,12.48,1.71,3.42,8
4405,24158.64351,18549.38788,-197.474,141.2,197.7,4529,114,12.48,5.69,11.38,1
4408,25039.64565,20720.5877,-184.383,142.9,194,10979,99,12.48,3.3,6.6,2
4410,25112.19881,20809.68759,64.6229,170.9,157.1,14699,99,12.48,2.78,5.56,3
4413,24981.42039,20642.18742,-190.649,92.8,188.8,7470,123,12.48,3.83,7.66,2
4413,24395.40669,19078.78742,-16.5255,106.5,113.3,1475,134,12.48,7.3,14.6,1
4413,24668.95427,19747.08742,8.43851,122,111.6,1527,116,12.48,7.46,14.92,1
4415,24948.39557,20056.9873,-49.613,122,149.1,22870,100,12.48,1.73,3.46,5
4419,24692.83397,19754.68708,39.6128,148.4,126.2,4954,102,12.48,3.74,7.48,1
4424,24699.43909,19748.78679,-12.8371,125.1,131.3,1595,93,12.48,7.79,15.58,1
4425,24579.22857,19369.58674,-59.0257,126.5,156.6,6222,112,12.48,3.4,6.8,1
4426,24823.20622,20333.38668,58.3,153.8,119.8,24503,107,12.48,1.63,3.26,4
4428,24681.7582,19745.68657,-9.113,116.3,118.3,3231,97,12.48,4.8,9.6,2
4430,24761.42442,20233.28645,26.4505,150.8,140.6,2009,97,12.48,8.05,16.1,1
4432,24676.47434,19769.98634,-14.7504,130.6,139,11591,111,12.48,2.56,5.12,3
4434,25462.56804,21893.68623,-202.615,114.6,197.8,3724,113,12.48,6.03,12.06,1
4435,24777.27651,20273.38617,4.58139,116.2,107.1,961,107,12.48,9.94,19.88,1
4437,24620.48463,19737.58606,62.6125,153.1,114.2,7029,133,12.48,3,6,1
4437,24196.75008,18449.88606,-190.772,107.6,192.5,17117,106,12.48,2.51,5.02,4
4438,24775.54915,20250.186,33.8988,139.7,115.7,1244,99,12.48,9.82,19.64,1
4439,24681.86015,19747.68595,22.0357,131.5,113.1,12426,108,12.48,2.11,4.22,3
4441,25268.58522,20773.48584,40.1244,146.4,122,2130,111,12.48,7.06,14.12,1
4442,24769.75722,20347.68578,89.4232,160.7,102.7,6843,112,12.48,3.44,6.88,2
4442,24192.78725,18459.68578,-202.656,109.8,197.3,34537,109,12.48,1.78,3.56,7
4443,25117.99185,20806.98573,133.105,182.3,108.8,12681,110,12.48,3.03,6.06,4
4446,24699.54138,20244.88556,70.6797,162.3,127.9,5318,114,12.48,5.47,10.94,3
4451,25110.98068,20840.38528,85.6326,161.2,108.3,3859,123,12.48,5.77,11.54,2
4452,24449.46706,19936.18523,105.599,168.4,102.3,17481,118,12.48,2.4,4.8,6
4461,25135.3686,20828.58473,158.601,193.7,106.9,2192,96,12.48,8.37,16.74,1
4462,24193.60082,18450.98468,-190.276,108.4,192.5,11123,97,12.48,3.18,6.36,3
4467,25409.93254,21900.9844,-74.2189,131.2,164.8,3552,100,12.48,5.33,10.66,1
4469,25398.45011,21878.9843,-65.4917,112,148.7,11393,110,12.48,2.29,4.58,2
4471,24435.44482,19161.98419,61.8145,147.1,102.4,2235,95,12.48,5.88,11.76,1
4475,25397.02771,21875.38397,-46.7994,126.6,151.4,3769,91,12.48,4.52,9.04,1
4484,24329.05437,18955.88349,103.563,165.4,96.8,2010,95,12.48,7.1,14.2,1
4488,24332.91589,18971.08327,102.294,166.7,102.4,11124,110,12.48,2.73,5.46,3
4492,24331.69665,18949.88306,55.4661,151.4,117.6,2336,116,12.48,6.7,13.4,1
4495,24307.91885,18982.9829,102.258,168.6,107.8,4874,111,12.48,4,8,1
4495,26125.8112,17748.6829,32.9831,128.9,98.8,2929,97,12.48,5.02,10.04,2
4497,24350.29238,18968.28279,69.1707,156,113.4,1967,108,12.48,7.61,15.22,1
4501,24348.46346,19035.88258,107.22,178.5,138.8,8085,105,12.48,3.85,7.7,2
4504,24336.98108,19152.88243,69.759,161.1,125.4,8421,120,12.48,3.31,6.62,2
4507,24937.62746,20280.68227,5.46135,127.2,120.4,24759,127,12.48,1.45,2.9,4
4513,24620.89373,19339.58196,-137.488,132.6,181.1,34404,116,12.48,1.73,3.46,6
4513,25120.6363,20924.58196,146.477,186.8,100.7,11450,119,12.48,3.09,6.18,3
4517,25224.28376,20922.08175,162.059,195.2,106.1,19183,118,12.48,2.4,4.8,4
4521,24604.83887,19356.78154,-100.083,138.6,174.8,34435,106,12.48,1.54,3.08,4
4523,24774.02793,19723.78144,-9.59889,129.2,133.8,5526,132,12.48,3.43,6.86,1
4525,24694.76831,19532.58133,-44.5587,125.7,149.5,22962,126,12.48,1.67,3.34,3
4525,24984.26944,19068.78133,-60.7853,93.4,132.3,11681,87,12.48,2.14,4.28,5
4527,24602.90843,19489.08123,-213.076,144.4,202.3,35672,113,12.48,1.95,3.9,6
4531,24190.04684,18498.98103,-35.852,120.7,140.6,1587,128,12.48,9.04,18.08,1
4533,24436.76815,19294.38092,62.7456,153.3,114.3,2220,112,12.48,6.88,13.76,1
4533,24296.33622,18798.68092,-174.412,115.3,188.1,34246,118,12.48,1.7,3.4,6
4534,24692.43153,19219.08087,-85.7953,104.3,152.8,29030,113,12.48,1.42,2.84,5
4534,25148.98772,20879.48087,137.632,183.8,105.4,2819,108,12.48,6.6,13.2,1
4537,25055.60366,20784.88072,130.752,186.2,136.5,3635,142,12.48,6.72,13.44,1
4541,24623.53684,19127.18052,-49.6334,121.5,148.4,12672,109,12.48,2.4,4.8,3
4545,24663.77655,19089.38032,42.713,160.2,146.2,12770,102,12.48,2.56,5.12,2
4548,24655.03779,19178.38017,-49.0451,129.2,154.4,3235,93,12.48,6.46,12.92,2
4550,24807.96845,19174.28007,38.9428,163.4,155.3,18643,110,12.48,2.11,4.22,2
4552,24582.28162,19140.87997,163.753,198.1,146.3,13926,100,12.48,2.87,5.74,2
4552,25009.16623,19147.77997,-97.7453,77.3,141.8,3614,111,12.48,3.67,7.34,1
4554,24479.44733,19173.47987,74.4961,159.3,115.5,1606,101,12.48,9.1,18.2,1
4556,25354.25095,21451.77977,-201.99,113,197.3,42351,110,12.48,1.6,3.2,8
4558,24418.37688,19127.57967,32.0368,148.1,131,2656,105,12.48,6.16,12.32,1
4559,24735.2125,19094.37962,108.172,180.8,150.7,13242,99,12.48,3.07,6.14,3
4559,24684.81146,19832.67962,43.2655,136.2,100.3,1433,97,12.48,7.7,15.4,1
4561,24710.21529,19832.07952,8.92976,121.5,109.8,5968,124,12.48,3.12,6.24,2
4561,25169.41348,20853.57952,108.786,168.5,98,21999,116,12.48,1.78,3.56,4
4563,24846.88756,19117.57942,-5.43477,153.1,160.5,4720,113,12.48,4.78,9.56,1
4565,25341.65108,21425.37932,-193.923,104.2,192.7,6538,125,12.48,3.78,7.56,1
4565,24707.06541,19827.47932,22.0154,125.6,103.8,5987,103,12.48,2.96,5.92,2
4566,24775.55396,19169.97927,-16.0536,136.5,145.8,3031,98,12.48,5.52,11.04,1
4568,25180.89629,21033.77918,21.3947,139.9,126.2,17141,127,12.48,1.81,3.62,2
4571,25350.7967,21356.97903,-252.582,119.8,217.8,8128,131,12.48,3.91,7.82,1
4571,24992.4006,19035.17903,-23.5371,106,117.7,1829,73,12.48,5.32,10.64,1
4572,25039.65162,20410.07898,32.6331,130.5,100.8,4055,140,12.48,3.66,7.32,1
4573,24475.5868,19375.07893,-334.337,113.4,255.5,3651,125,12.48,8.84,17.68,1
4574,24663.98105,19798.87888,8.29545,129.4,121.1,2945,125,12.48,5.03,10.06,1
4574,25347.64677,21204.27888,-311.244,165.7,242.1,4386,101,12.48,7.63,15.26,1
4575,23523.35272,17628.17883,-85.9425,124.4,164.4,1857,102,12.48,8.75,17.5,1
4584,25379.55434,21070.7784,202.402,214.9,102.7,7522,114,12.48,5.19,10.38,3
4586,24919.23849,20458.37831,73.2155,150.7,97.1,9343,126,12.48,2.57,5.14,2
4589,25362.99134,21356.07816,-255.682,153.8,217.7,17155,113,12.48,3.15,6.3,3
4590,24376.1065,19227.87812,-16.6503,110.3,117.2,5083,111,12.48,3.74,7.48,3
4592,24038.94803,18371.87802,-80.9304,107.5,152.7,19901,117,12.48,1.81,3.62,4
4592,24831.3418,20484.97802,105.676,166.4,96.9,12435,118,12.48,2.7,5.4,4
4594,25340.43305,21042.87793,234.867,234.1,123.7,5338,108,12.48,7.08,14.16,2
4596,25354.15117,21382.77783,-224.469,113.4,205.7,27420,139,12.48,2.07,4.14,4
4597,24672.82264,19743.57779,-109.633,130.1,173.5,42388,119,12.48,1.52,3.04,8
4598,24832.7647,20507.47774,107.555,175.2,121.4,5730,99,12.48,4.53,9.06,2
4602,24839.06503,20494.97755,83.2193,156.2,98.2,5339,119,12.48,4.03,8.06,2
4603,25347.44492,21388.7775,-266.9,135.5,224.1,12873,115,12.48,3.45,6.9,2
4605,24839.37002,20477.87741,60.7551,143.8,96.9,2224,124,12.48,6.05,12.1,1
4606,23718.65824,17502.57737,-282.499,117.2,230.7,12123,109,12.48,3.49,6.98,2
4606,25352.01775,21387.77737,-238.812,131.9,212.2,5633,104,12.48,4.9,9.8,1
4606,24678.10707,19902.27737,28.9272,132.7,108.3,1732,125,12.48,7.3,14.6,1
4608,24849.83652,20490.17727,96.9564,160.3,92.5,4404,142,12.48,5.01,10.02,2
4609,24670.48609,19857.47723,-35.9758,135.1,153.8,6577,122,12.48,4.61,9.22,3
4610,24020.25176,18327.67718,-94.6401,107.7,158.6,11049,124,12.48,2.75,5.5,3
4610,23720.18266,17513.87718,-304.338,117.1,241,41631,104,12.48,1.97,3.94,7
4612,24730.84556,19688.97709,-233.188,113.6,209.2,6103,117,12.48,5.42,10.84,2
4613,24824.83948,20471.07704,100.083,172.5,122.7,4142,113,12.48,4.93,9.86,1
4615,24687.4561,19630.47695,18.9518,131.7,115.4,7310,115,12.48,2.91,5.82,2
4616,25145.23173,20879.97691,79.4907,157.1,104.7,25295,110,12.48,1.67,3.34,6
4617,24805.63445,20487.77686,100.711,170,113.7,1890,98,12.48,8.38,16.76,1
4619,24661.13803,19629.47677,28.942,138,116.5,8181,104,12.48,3.02,6.04,3
4623,24846.99207,19625.47659,20.8332,145.7,135.5,8593,122,12.48,3.15,6.3,2
4623,23703.51848,17524.87659,-286.848,118.5,232.9,11970,109,12.48,3.58,7.16,2
4623,24852.07282,20510.27659,100.718,180.9,165.7,2890,122,12.48,8.58,17.16,1
4624,25194.51542,20886.27654,70.7624,160.9,123.2,3477,96,12.48,5.06,10.12,1
4626,24444.69844,18978.67646,59.5308,143,96.1,4543,116,12.48,4.09,8.18,2
4627,25142.89516,20885.37641,136.296,186.4,120.9,1925,93,12.48,9.32,18.64,1
4629,24889.36585,19651.87632,-12.8613,120,124.9,2666,96,12.48,4.89,9.78,1
4631,24873.31078,20474.77623,76.3872,160.3,115.5,6156,111,12.48,3.93,7.86,2
4633,24844.96031,19701.57614,-59.0402,134.4,162,9408,104,12.48,3.07,6.14,2
4635,24726.88379,19872.47606,21.471,138.6,123.9,3095,111,12.48,5.04,10.08,1
4638,24003.48677,18123.17592,-207.57,130.4,200.7,2253,96,12.48,9.34,18.68,1
4639,24882.55819,20505.87588,156.905,193.6,109.7,2631,114,12.48,7.7,15.4,1
4640,24667.74413,19908.27584,42.072,135.7,100.8,5827,101,12.48,3.17,6.34,2
4643,25232.52047,20964.97571,155.662,195.1,147,26625,116,12.48,2.01,4.02,3
4643,24661.85063,19919.07571,51.4369,145.3,108.6,1733,97,12.48,7.38,14.76,1
4650,25229.16757,20981.0754,140.067,190.1,149.6,30970,104,12.48,1.94,3.88,5
4658,24854.81837,19608.67506,-49.6502,107.7,136.8,28564,100,12.48,1.42,2.84,8
4663,25321.12991,20781.57486,68.9345,164.4,134.7,15217,93,12.48,2.82,5.64,6
4667,24853.49792,19606.27469,-43.399,110.9,136.1,9276,94,12.48,2.76,5.52,4
4673,24852.17729,19603.37444,-52.7536,104.3,136,1459,86,12.48,7.48,14.96,1
4675,24853.29517,19611.77436,-60.2406,114,147.5,10217,93,12.48,2.6,5.2,3
4679,25177.04081,20681.8742,114.512,177,118.1,6082,102,12.48,4.34,8.68,2
4680,24632.58771,19932.67416,59.5923,145.3,100.9,7087,116,12.48,3.03,6.06,2
4686,24480.2672,18817.17392,-58.9799,128,157.4,1730,103,12.48,9.07,18.14,1
4688,25309.2425,20584.17384,37.1338,143.3,118.4,23464,105,12.48,1.7,3.4,6
4688,26787.94398,18749.37384,-191.287,91.8,188.7,3414,90,12.48,6.55,13.1,2
4690,24547.23174,19865.77376,57.1073,143.2,99.1,20313,115,12.48,1.61,3.22,4
4692,26800.13804,18778.17369,-206.885,77,189.4,1614,85,12.48,9.13,18.26,1
4694,24801.57435,20325.37361,114.529,177.6,120.5,28089,115,12.48,1.96,3.92,7
4695,25339.21938,20613.57357,9.6814,121.4,109.2,1648,116,12.48,6.87,13.74,1
4697,25233.53991,20750.27349,100.178,169.3,112,32325,108,12.48,1.65,3.3,8
4706,25178.16034,20745.27315,105.805,170.9,109,8988,112,12.48,3.07,6.14,2
4706,24568.47034,19024.37315,-0.91578,124.5,122,11418,111,12.48,2.27,4.54,3
4708,24756.66146,20266.77307,83.9641,150,84.8,1981,115,12.48,6.44,12.88,1
4709,24654.33522,19381.27304,200.672,210.6,162.7,5527,94,12.48,5.32,10.64,1
4710,24822.4065,19299.673,-25.8752,115.5,129.6,2001,95,12.48,6.11,12.22,1
4711,24543.4734,19011.27296,-89.5323,130,168.4,43465,114,12.48,1.26,2.52,4
4711,25191.06579,20844.27296,47.1456,135.9,96.5,1760,118,12.48,6.77,13.54,1
4712,25167.99926,20542.97292,-42.0995,121.1,144.4,14258,116,12.48,2.18,4.36,3
4715,25193.3016,20782.47281,56.5117,169.5,158.6,3493,109,12.48,6.45,12.9,1
4716,24519.59422,19564.87278,54.0164,146.1,108,23577,123,12.48,1.63,3.26,5
4718,24475.59507,18881.9727,-1.52622,150.4,155.5,2678,108,12.48,7.11,14.22,1
4719,24556.88714,19325.87267,-282.994,110.3,230.5,2773,96,12.48,8.73,17.46,1
4720,25169.62566,20494.37263,-2.14804,118,114.4,8727,106,12.48,2.52,5.04,3
4721,24539.61273,19361.3726,-151.931,154.4,187.1,5885,107,12.48,4.56,9.12,1
4722,24575.27966,19557.37256,-8.38677,120,121.7,11303,132,12.48,2.12,4.24,2
4723,24575.07651,19005.37252,4.09637,117,107.9,3824,110,12.48,3.45,6.9,1
4724,24558.3101,19254.97249,-234.933,123.9,210.8,7701,117,12.48,3.87,7.74,1
4724,25163.32581,20510.17249,10.9626,133.8,125,15689,104,12.48,2.03,4.06,4
4725,24575.99119,19547.07245,-56.4391,105.6,139.1,2275,115,12.48,5.88,11.76,1
4727,24568.87828,19048.27238,9.09373,128.8,119.6,6768,106,12.48,3.04,6.08,2
4730,24542.76344,19117.37227,15.9622,141.6,132.7,11808,110,12.48,2.36,4.72,2
4730,25100.0201,20785.27227,-95.1276,113.6,161.9,4070,101,12.48,4.4,8.8,1
4732,25158.44888,20485.5722,2.85842,129,124.9,3669,109,12.48,4.2,8.4,1
4733,24524.47296,19210.87217,52.7876,146.8,110.6,3845,102,12.48,4.13,8.26,1
4734,25166.37499,20492.47213,15.9668,128.9,114.2,17831,117,12.48,1.65,3.3,3
4734,24574.67085,19020.07213,0.36429,116.4,110.4,1557,102,12.48,6.73,13.46,1
4735,24595.29877,19135.0721,10.9751,152.9,152.8,18124,97,12.48,2.14,4.28,3
4736,24850.96218,19597.27207,-41.4481,104.2,128.9,17655,123,12.48,1.69,3.38,4
4739,25149.10082,20538.87196,-15.8566,134.4,143.6,8071,107,12.48,3.15,6.3,2
4739,24668.05541,18935.27196,28.4545,127.5,100.3,16038,74,12.48,1.6,3.2,4
4744,24668.46225,18937.87179,27.8361,135.6,114.1,5641,86,12.48,2.93,5.86,1
4744,24852.89347,19602.97179,-28.957,111.6,127.8,4056,88,12.48,3.46,6.92,1
4746,24721.91189,20139.67172,11.6118,145.1,141.1,29411,101,12.48,1.56,3.12,5
4746,24610.44024,18966.47172,-9.60764,123.3,126.8,9764,99,12.48,2.53,5.06,3
4746,25124.30729,20785.27172,98.3617,169.6,115.5,25686,112,12.48,1.95,3.9,7
4747,26318.58846,21501.87169,171.382,197.2,94.3,2306,111,12.48,8.27,16.54,1
4749,26222.66406,21528.47162,133.315,179.6,97.5,2729,116,12.48,6.54,13.08,1
4750,24605.76625,18955.77159,12.2404,121.4,106.8,2445,103,12.48,4.81,9.62,1
4751,24853.70693,20428.67156,5.37645,147.8,148.6,2457,116,12.48,7.42,14.84,1
4751,24733.69962,20189.67156,44.6947,149,122.7,25207,137,12.48,1.65,3.3,4
4752,24594.58876,18942.07153,24.1006,134.3,115,3348,126,12.48,4.56,9.12,1
4753,24621.92327,19804.27149,2.88233,144.9,146,16087,113,12.48,2.07,4.14,2
4755,24667.7518,20056.57143,27.8486,140.9,122.7,12409,118,12.48,2.39,4.78,3
4755,25061.20508,20755.77143,108.982,174.6,118.3,8946,108,12.48,3.61,7.22,3
4758,24603.02328,19792.17133,7.25672,148.9,148.8,8677,120,12.48,2.9,5.8,1
4758,24745.69074,20214.27133,35.9653,151,133.7,12419,140,12.48,2.53,5.06,2
4759,24664.70366,18958.8713,-32.0604,114.4,132.4,15323,107,12.48,2.06,4.12,5
4760,25015.17388,20500.67127,-118.185,129.8,175.7,8228,100,12.48,3.56,7.12,2
4763,24589.6105,19671.27117,18.4962,128.6,111.3,6404,111,12.48,2.66,5.32,1
4771,24666.63533,19748.67092,19.7535,125.9,106.5,47598,102,12.48,0.95,1.9,9
4773,25081.52954,20653.47086,69.0597,154.2,109.7,17906,119,12.48,2.11,4.22,5
4773,25309.04552,18974.17086,-147.503,103.1,176,2905,101,12.48,5.94,11.88,1
4775,24818.6517,18632.0708,-18.9361,135.9,146.8,2833,135,12.48,6.42,12.84,1
4777,24459.8493,18957.67074,43.4762,143,112.3,9043,96,12.48,2.77,5.54,3
4777,24474.68509,19776.27074,236.323,232,148,6467,78,12.48,4.75,9.5,1
4778,24907.15862,20391.97071,-266.076,150,222.8,7895,111,12.48,4.3,8.6,1
4779,24835.21528,20240.67068,43.4784,134,96.3,4599,122,12.48,3.25,6.5,1
4782,24578.02797,19724.77059,34.1203,133.9,105.6,13090,117,12.48,2.02,4.04,3
4782,24448.26562,19082.67059,42.2336,145.8,118.9,24359,114,12.48,1.72,3.44,6
4789,24861.73766,20328.97039,-16.4238,148.3,159.4,10968,99,12.48,2.85,5.7,2
4790,25032.65418,20663.27036,87.802,160.6,104,1731,92,12.48,7.91,15.82,1
4791,24658.20299,19980.67033,12.2871,141.5,135.4,5637,74,12.48,3.24,6.48,1
4792,24584.63382,19779.1703,-68.8448,137.9,167.2,10261,158,12.48,2.83,5.66,1
4792,24997.69879,20615.8703,117.761,184.1,157.3,2558,103,12.48,8.77,17.54,1
4793,24694.17488,19058.37028,7.92066,119.2,107.7,2571,64,12.48,4.15,8.3,1
4794,24980.11958,20610.17025,29.7653,154.1,143.6,16351,111,12.48,2.76,5.52,6
4795,24594.18589,19715.07022,11.0434,123.7,110.9,7624,131,12.48,2.69,5.38,2
4796,24590.9343,18943.47019,-86.9391,112.8,158.4,33102,116,12.48,1.45,2.9,6
4804,24667.75597,19999.16998,57.8612,150.3,112.8,8272,107,12.48,2.89,5.78,2
4808,24962.64306,20603.06987,105.921,180.3,152.1,3942,102,12.48,5.87,11.74,1
4809,24818.6547,20292.86984,-64.4567,145.3,171,4853,133,12.48,4.99,9.98,1
4809,24315.25399,18803.86984,-120.002,108,168.1,22805,104,12.48,1.93,3.86,6
4811,24829.73092,20264.56979,-180.537,151.8,192.7,7648,126,12.48,3.98,7.96,1
4811,24848.73293,19745.56979,-13.2782,113.9,118.5,14203,83,12.48,1.72,3.44,3
4812,24956.14008,20447.86977,44.7642,149.6,123.5,7186,113,12.48,3.41,6.82,2
4814,24658.61154,19836.06971,205.784,211.6,167.4,3966,106,12.48,7.33,14.66,1
4815,24803.81947,20225.96969,20.4277,146,136.5,5254,114,12.48,3.81,7.62,1
4816,24857.16744,20343.36966,36.6554,148.9,129.3,14780,121,12.48,2.29,4.58,3
4819,25231.11093,20551.36959,44.1481,149.9,125,12709,105,12.48,2.24,4.48,2
4819,24665.9283,19772.86959,11.6949,156.8,158.3,2671,110,12.48,7.53,15.06,1
4823,25239.8502,20551.36949,16.6922,124.8,107.5,1015,99,12.48,9.9,19.8,1
4824,24910.10962,20497.66947,74.7346,153.8,102.6,26347,115,12.48,1.59,3.18,6
4825,24752.91132,19240.76944,-26.3684,113,127.4,42760,104,12.48,1.05,2.1,8
4836,24744.57997,19385.36919,-156.169,114.2,182,43588,120,12.48,1.38,2.76,6
4843,24666.84521,19329.56903,-40.7022,137.4,158,13579,110,12.48,2.6,5.2,3
4846,24700.98815,19429.16897,-30.7132,123.7,140.8,3988,43,12.48,3.55,7.1,1
4848,24693.16401,19276.36892,-3.25052,141.8,145.5,45098,113,12.48,1.27,2.54,7
4856,24422.76733,19330.66876,118.458,180.6,127.7,4843,131,12.48,4.87,9.74,1
4856,24744.58203,19192.06876,-29.4536,120.7,136.9,40129,113,12.48,1.25,2.5,9
4856,26220.33668,21453.86876,240.158,237.3,123.1,3899,114,12.48,7.51,15.02,1
4861,24169.54328,19226.06866,227.681,228.6,139.6,3607,103,12.48,7.76,15.52,1
4861,25258.24639,20883.76866,135.939,188.1,137.9,5849,104,12.48,5.22,10.44,2
4863,26250.00901,21408.56862,190.238,209.1,106.8,2740,116,12.48,8.18,16.36,1
4866,24755.65914,19169.76857,-38.8037,113.6,135.7,10142,105,12.48,2.5,5,3
4868,26201.13274,21446.56853,231.434,231.9,108.9,6159,117,12.48,6.08,12.16,2
4870,24578.44302,18921.06849,-35.6787,107.9,128.6,4266,104,12.48,4,8,2
4873,24604.55841,19021.26844,-7.59076,153,161.3,4442,98,12.48,4.84,9.68,1
4873,24775.98292,19192.86844,-46.9091,101.9,130.5,5812,105,12.48,3.11,6.22,2
4876,25122.69363,19508.76839,-120.549,98.9,164.5,30072,106,12.48,1.59,3.18,8
4876,25172.5866,20734.96839,24.2418,127.9,105.2,1059,107,12.48,9.9,19.8,1
4878,25149.62183,20787.86835,75.4202,156,106.5,5229,105,12.48,4.1,8.2,2
4879,24565.53892,19525.66834,21.1247,132.6,115.4,5620,116,12.48,3.57,7.14,2
4886,25124.32061,19501.66822,-139.261,96,170.4,4224,98,12.48,4.18,8.36,1
4889,25081.74427,19502.46818,-119.911,113.5,170.4,18778,104,12.48,2.09,4.18,4
4891,25124.82926,20677.66815,36.1167,156.9,144.7,2062,112,12.48,8.77,17.54,1
4892,25171.26743,20508.06813,36.742,139.3,112.3,2553,106,12.48,5.45,10.9,1
4894,25116.90364,19511.6681,-133.635,103.8,171.4,13440,97,12.48,2.56,5.12,4
4894,25158.46418,20769.5681,120.998,176.1,104.5,7037,104,12.48,3.68,7.36,2
4896,25361.38957,20966.86807,152.205,189.4,101.9,1925,110,12.48,9.36,18.72,1
4897,25156.94031,20769.86806,142.845,184.7,100.3,9260,98,12.48,3.06,6.12,2
4903,25121.27416,19497.96798,-111.781,100.6,161.9,12247,95,12.48,2.69,5.38,5
4906,25179.60154,20703.56794,53.6086,147.4,110.9,2331,97,12.48,5.99,11.98,1
4909,25193.1167,20698.0679,32.3926,133.5,106.6,1680,96,12.48,6.88,13.76,1
4911,24399.40218,19521.76788,119.769,177.9,114.1,13119,108,12.48,2.92,5.84,4
4911,25171.67618,20701.96788,62.9758,144.3,95.5,2134,108,12.48,5.99,11.98,1
4914,25178.7896,20715.96784,43.6321,150.9,127.1,5776,102,12.48,4.55,9.1,3
4915,24325.02049,19276.76783,161.588,195.5,164.6,16500,106,12.48,3.26,6.52,4
